Tempo,Saida,n,m,Algoritmo
0.01184353418648243,4,4,4,Exaustive Search
0.01415075408294797,6,14,14,Exaustive Search
0.021553277038037777,9,24,24,Exaustive Search
0.040996337775141,9,34,34,Exaustive Search
0.06965045677497983,10,44,44,Exaustive Search
0.17078751232475042,11,54,54,Exaustive Search
0.30001163808628917,12,64,64,Exaustive Search
0.5945665217004716,17,74,74,Exaustive Search
0.8927565217018127,13,84,84,Exaustive Search
1.3758079903200269,16,94,94,Exaustive Search
0.6580884251743555,4,4,4,GPU Exaustive Search
0.6438262378796935,6,14,14,GPU Exaustive Search
0.9989573140628636,9,24,24,GPU Exaustive Search
2.1361436978913844,9,34,34,GPU Exaustive Search
3.095226784236729,10,44,44,GPU Exaustive Search
5.134636657778174,11,54,54,GPU Exaustive Search
7.654653590172529,12,64,64,GPU Exaustive Search
36.4386377222836,17,74,74,GPU Exaustive Search
53.37744357204065,13,84,84,GPU Exaustive Search
74.23893588595092,16,94,94,GPU Exaustive Search
